瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),碍荐 拌加矫埃(hr),1矫埃 弥促碍荐樊(mm),老碍荐樊(mm),弥措 鉴埃 浅加(m/s),弥措 浅加(m/s),乞闭 浅加(m/s),弥家 惑措嚼档(%),乞闭 惑措嚼档(%),老 弥缴脚利汲(cm)
156,堡林,2019-01-01,0,-2.3,2.4,4.23,,0,10.6,4.2,1.2,46,65.3,
156,堡林,2019-01-02,-.1,-2.8,4.2,,,,6.6,3.4,1.7,48,62.4,
156,堡林,2019-01-03,.5,-3.5,6.5,,,,6.5,4.2,1.5,22,53,
156,堡林,2019-01-04,.7,-4.1,3.9,,,,3.9,2.4,.7,32,56.4,
156,堡林,2019-01-05,2,-2.1,6.9,1.52,,0,7.2,3.2,1,19,54.4,
156,堡林,2019-01-06,.6,-2.8,6.3,,,,6.5,3.3,1.6,22,44.3,
156,堡林,2019-01-07,1.2,-3.2,6.3,,,,6.9,3.9,1.5,43,64.1,
156,堡林,2019-01-08,.8,-1.3,5.1,,,,10.5,4.5,2.1,31,60.6,
156,堡林,2019-01-09,-.9,-5.1,3.8,,,,9.2,4.3,1.6,16,33.1,
156,堡林,2019-01-10,2,-.6,6.8,,,0,5.9,3.2,.9,32,57,
156,堡林,2019-01-11,4.2,-1.1,9.3,1.38,,.4,8.3,4.6,1.6,39,61,
156,堡林,2019-01-12,4.6,1.8,9.7,8.18,,3.5,6.9,3.3,1.5,41,77.6,
156,堡林,2019-01-13,3.3,-.1,8.8,,,,5.6,2,.9,37,66.1,
156,堡林,2019-01-14,2.3,-2.2,9.3,,,,5.6,2.6,.9,38,71.8,
156,堡林,2019-01-15,2,-1.9,7.2,2.9,,0,8.7,3.5,1.5,47,70.8,
156,堡林,2019-01-16,-2.1,-5.9,2.4,.7,,0,8.3,4.9,2.2,22,50.9,
156,堡林,2019-01-17,1.1,-2.9,6.6,,,,9.6,3.8,1,37,64.4,
156,堡林,2019-01-18,2.4,-3,9.2,,,,4.6,2.7,.8,44,70.5,
156,堡林,2019-01-19,3.6,-.8,8.5,6.87,,1.9,4.7,2.9,.9,11,71.3,
156,堡林,2019-01-20,2.2,-.7,4.9,4.33,,.3,10.2,4.7,2.1,41,64.1,
156,堡林,2019-01-21,2.1,-2.1,8,,,,7.4,3.4,1.3,38,59.5,
156,堡林,2019-01-22,3.4,-2.2,10,,,,8.3,4.2,1.1,24,64.4,
156,堡林,2019-01-23,4.4,.6,10,,,,8.1,3.2,1.1,28,62.1,
156,堡林,2019-01-24,2.8,-1.7,9.9,,,,5.3,3.1,1.2,7,36.5,
156,堡林,2019-01-25,.9,-1.9,5.8,,,,10.8,3.7,1.6,46,55.1,
156,堡林,2019-01-26,-.5,-3.1,3.8,,,,10,5,1.9,23,46.4,
156,堡林,2019-01-27,.9,-5.3,7.7,,,,5.1,2.5,1,31,61,
156,堡林,2019-01-28,3.4,-.1,8.5,.6,,0,9.5,3.7,1.6,17,56.6,
156,堡林,2019-01-29,2.1,-3.3,9.7,,,,7.9,5.4,1.4,12,42.3,
156,堡林,2019-01-30,4.1,-.5,10.5,.85,,0,7.5,4.7,1,18,46,
156,堡林,2019-01-31,.4,-1.7,4.6,12.12,,10.3,7.3,4.4,1.8,66,81.9,3.8
156,堡林,2019-02-01,-.2,-3.9,4.8,1.28,,0,7.6,3.9,1.3,45,67.9,
156,堡林,2019-02-02,3.8,-2.9,9.6,.68,,0,4.5,2.7,1,45,71.8,
156,堡林,2019-02-03,7.3,5.4,11.1,15.55,,17.3,10,4.4,1.8,83,97.5,
156,堡林,2019-02-04,4,0,8.3,,,,9.6,5.6,2.6,19,37.5,
156,堡林,2019-02-05,5.4,-1.4,12.6,,,,4.4,2.4,.8,25,45.5,
156,堡林,2019-02-06,7.3,1.6,13.6,,,,7.3,3.8,1.3,40,61.9,
156,堡林,2019-02-07,2.5,-3.6,6.6,.65,,0,7.7,4.1,1.9,30,59.1,
156,堡林,2019-02-08,-.9,-4.4,4.7,,,,8.6,4.8,2.2,15,35,
156,堡林,2019-02-09,-1.1,-2.7,2,,,,10.1,4.8,2.1,36,47.4,
156,堡林,2019-02-10,-1.2,-4.9,3.8,,,,8.4,4.9,2,17,35.5,
156,堡林,2019-02-11,-.1,-2.1,3.9,,,,8.8,4,2.2,35,51.4,
156,堡林,2019-02-12,1.5,-4.3,8.1,,,,6.9,4.1,1.5,34,55.5,
156,堡林,2019-02-13,1.9,-1.9,6.8,,,,13.4,6.5,2.6,25,45.6,
156,堡林,2019-02-14,2.3,-1.5,9.2,,,,6.5,3.6,1.6,8,36.1,
156,堡林,2019-02-15,2.5,-.2,6.3,,,,7.1,3,.9,31,56.8,
156,堡林,2019-02-16,.3,-1.6,2.9,1.65,,0,9.3,4.7,2,45,59.8,
156,堡林,2019-02-17,1.1,-2.8,6.7,,,,7.9,4,1.7,21,48.4,
