지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),일 최심신적설(cm)
143,대구,2019-01-01,-.6,-3,3.4,,,,12,6.9,3.8,26,49.3,
143,대구,2019-01-02,-.5,-4.2,4.2,,,,8.3,5.5,2.7,19,39.3,
143,대구,2019-01-03,0,-3.6,6.1,,,,8.3,5.6,2.3,12,30.1,
143,대구,2019-01-04,.9,-6.8,7.2,,,,7,4.1,1.7,13,38,
143,대구,2019-01-05,2.4,-3.8,7.5,,,,8.3,5.4,2,14,38.3,
143,대구,2019-01-06,.6,-5,7.3,,,,5.7,3.5,1.4,10,29.9,
143,대구,2019-01-07,1.2,-5.6,6.1,,,,8.7,5.3,2.2,22,38.3,
143,대구,2019-01-08,1.2,-2,5.1,,,,11.9,7.4,3.7,17,38,
143,대구,2019-01-09,-1.3,-5.6,4.3,,,,7.3,4,1.7,23,33.6,
143,대구,2019-01-10,1.7,-2.8,5.7,,,,12.3,7.8,3.1,11,41.5,
143,대구,2019-01-11,3,-3.3,8.3,,,,6.4,4.2,1.3,33,54.6,
143,대구,2019-01-12,3.1,-.9,6,11.25,,3.5,3.8,2.4,.8,55,88.1,
143,대구,2019-01-13,1.8,-2.9,9.4,,,,3.9,2.3,.8,40,79.1,
143,대구,2019-01-14,2,-3.9,9.2,,,,4.1,2.6,.9,24,63,
143,대구,2019-01-15,2.6,-2.5,7.7,.25,,0,10.4,6.5,3.1,31,51.8,
143,대구,2019-01-16,-1.9,-5.5,2.6,,,,11.4,6.7,3.8,16,34.9,
143,대구,2019-01-17,1.5,-2.7,5.7,,,,10.7,6.7,3.3,36,47,
143,대구,2019-01-18,2.5,-2.9,8.9,,,,6.4,3.9,1.6,26,45.6,
143,대구,2019-01-19,4.5,-1.3,10.2,1.65,,0,4.2,2.8,.9,25,46.1,
143,대구,2019-01-20,3.4,-1.4,6.9,2.42,,.5,12.5,8,4.3,15,39.3,
143,대구,2019-01-21,1.9,-3.4,8.2,,,,9.4,6.2,3.5,26,38.5,
143,대구,2019-01-22,3.9,-2.4,9.7,,,,6.4,4,1.7,25,45.9,
143,대구,2019-01-23,4.2,-3,11.1,,,,9.8,5.9,2.2,22,41.1,
143,대구,2019-01-24,2.8,-3.3,9.7,,,,6.3,3.9,1.6,8,29.3,
143,대구,2019-01-25,1.1,-3.2,6.7,,,,11.1,7,2.7,17,35.9,
143,대구,2019-01-26,-.3,-3.5,4.6,,,,8.8,5.5,3.4,15,25.1,
143,대구,2019-01-27,.7,-7.2,8,,,,6.6,4.4,1.6,18,34.5,
143,대구,2019-01-28,3.1,-1.9,8.7,,,,14,8.6,2.9,15,35.8,
143,대구,2019-01-29,1.6,-5.4,9.2,,,,5.6,3.8,1,21,39.9,
143,대구,2019-01-30,5.2,-2,12.5,,,,6.3,4.3,1.9,11,34.1,
143,대구,2019-01-31,1.4,-2.3,6.8,10.75,,5.5,9.2,5.1,3.1,33,66.1,
143,대구,2019-02-01,0,-4.4,4.9,,,,9.2,5.8,3.6,32,44.8,
143,대구,2019-02-02,3,-3.3,8.8,,,,6.3,3.8,1.8,29,51,
143,대구,2019-02-03,5,1.7,8.5,9.27,,6,13.1,7.4,1.4,54,85.5,
143,대구,2019-02-04,4.1,.2,7.9,,,,11.6,7.7,4.1,14,28.9,
143,대구,2019-02-05,3.3,-4.2,11.2,,,,3.8,2.1,.7,15,41.3,
143,대구,2019-02-06,6.6,-1,15,,,,4.8,3.5,1,13,40,
143,대구,2019-02-07,3.9,-1.7,8.7,,,,10.8,6.5,3,16,41,
143,대구,2019-02-08,-.1,-4,5.3,,,,8.8,6.1,2.1,14,26.6,
143,대구,2019-02-09,.2,-1.5,3,,,,11.6,7.2,3.5,16,22.5,
143,대구,2019-02-10,1,-4.5,4.5,,,,7,4.7,1.6,22,29.3,
143,대구,2019-02-11,.6,-2.9,4.7,,,,10.8,6.3,3.6,19,27.8,
143,대구,2019-02-12,1.5,-4.7,6.5,,,,6.5,3.9,1.5,25,37.4,
143,대구,2019-02-13,2.6,-1.2,6.2,,,,10.3,6.6,3.1,20,28.3,
143,대구,2019-02-14,2.1,-1.3,6.5,,,,8.4,5.1,2.2,28,52.1,
143,대구,2019-02-15,4.1,.7,9.9,,,,8.5,5.1,2.3,23,54.4,
143,대구,2019-02-16,1,-1.4,3.4,1.12,,0,9.9,6.5,3.7,33,45.9,
143,대구,2019-02-17,1.8,-3.2,7.6,,,,9,5.3,3.2,14,31.6,
143,대구,2019-02-18,4.9,-1.8,9.2,.37,,0,7.2,4.8,1.4,14,27.3,
143,대구,2019-02-19,3.6,1.6,6.3,13.5,,19.5,6.4,4.6,1.6,37,87,
143,대구,2019-02-20,3.8,1.3,7.4,,,,10.2,6.5,3.2,41,57.4,
143,대구,2019-02-21,3.7,-2.4,10.2,,,,3.8,2.7,.8,33,60.1,
143,대구,2019-02-22,6,-.3,12.4,,,,5.4,3.5,1,20,54.3,
143,대구,2019-02-23,5.6,-.7,12.6,,,,10.7,7.2,2.1,40,65,
143,대구,2019-02-24,6.9,-1.2,15.7,,,,7.9,5.1,1.4,22,56.1,
143,대구,2019-02-25,9.2,3.6,15.2,,,,6.6,3.4,1.4,17,48.5,
143,대구,2019-02-26,8.1,1.2,14.5,,,,7.4,5,1.6,15,51.8,
143,대구,2019-02-27,9.1,6.3,13.3,6.25,,.2,6.1,3.4,1.5,43,67.9,
143,대구,2019-02-28,9,3.9,15.4,1.92,,.5,6.3,3.1,1.4,27,60.9,
143,대구,2019-03-01,8.4,2.2,15.3,,,,8.7,5.3,1.7,18,43.3,
143,대구,2019-03-02,8,.4,15,,,,7.2,4.9,1.7,31,57.9,
143,대구,2019-03-03,10,4.4,15.2,,,,7.9,4.5,2.1,30,53,
143,대구,2019-03-04,10.9,5.9,16.9,,,,6.7,4.6,1.5,25,49.8,
143,대구,2019-03-05,10.1,2.3,16.2,,,,5.5,3.7,1.2,25,52.6,
143,대구,2019-03-06,11.2,8.8,14.8,3.28,,0,5.8,3.4,1.4,31,49.8,
143,대구,2019-03-07,8.7,5.3,12.5,1,,.2,6.6,4.1,2.3,35,55.5,
143,대구,2019-03-08,8.5,.5,16.2,,,,5.8,3.9,1,17,52.5,
143,대구,2019-03-09,10.9,1.9,18.1,,,,7,3.6,1.2,16,46,
143,대구,2019-03-10,8.5,6.3,11.9,11.83,,7.5,7.7,5.2,1.5,48,76,
143,대구,2019-03-11,8.2,2.1,14.4,1.37,,.5,7.6,4.1,2,31,69.3,
143,대구,2019-03-12,8.4,1.7,16,1.08,,.5,13.3,7.9,4,26,55.8,
143,대구,2019-03-13,5.3,1,10,,,,14.7,8.3,5,19,30,
143,대구,2019-03-14,6.8,-1.5,13.2,,,,8.6,5.7,1.6,15,30.1,
143,대구,2019-03-15,6.8,4,13.3,4.25,,1,14.1,7.6,2.4,38,52,
143,대구,2019-03-16,7.6,3,13.2,,,,10.6,5.8,2.5,31,48.4,
143,대구,2019-03-17,8.5,4.3,14.1,,,,9.7,5.7,2.3,24,42.9,
143,대구,2019-03-18,9,.6,16.9,,,,8.3,4.5,1.4,23,49.6,
143,대구,2019-03-19,13.5,4.3,21.2,,,,6.6,4.1,1.6,17,43.6,
143,대구,2019-03-20,12.6,7,18.1,5.8,,6,10.1,5.3,1.5,27,61.4,
143,대구,2019-03-21,13.5,6.4,18.2,.25,,0,13.7,8.4,4.4,38,61.8,
143,대구,2019-03-22,7.2,3.7,12.9,,,,9.1,4.9,3.5,21,40.4,
143,대구,2019-03-23,6,3.1,13.1,1,,.5,14.1,8,3.7,16,42.9,
143,대구,2019-03-24,6.6,-.3,13.7,,,,7.9,4.4,2.4,18,39.4,
143,대구,2019-03-25,9.3,1.1,15.6,,,,6.1,4.1,1.8,31,41.5,
143,대구,2019-03-26,11.7,3.6,19.9,,,,12.6,6.9,2.2,16,44,
143,대구,2019-03-27,15,4.6,24.2,,,,11.2,5.7,2.2,17,35.1,
143,대구,2019-03-28,12.1,8.3,16.2,,,,9.7,6,3,37,61.6,
143,대구,2019-03-29,12.5,6.3,19.4,,,,8.8,5.7,1.9,28,60.3,
143,대구,2019-03-30,9.2,5.1,14.3,3.52,,4.5,14.2,8.5,3.7,31,60.4,
143,대구,2019-03-31,6.7,4.5,11.1,,,,10.8,6.7,4.4,26,39.6,
143,대구,2019-04-01,7.1,2.4,11.8,,,,11.8,6.4,3.6,21,34.6,
143,대구,2019-04-02,8.1,.2,14.8,,,,9.4,5.4,2.3,16,34.1,
143,대구,2019-04-03,9.8,1.8,16.3,,,,9.9,5.5,2.3,15,26.3,
143,대구,2019-04-04,13.1,5.9,21.5,,,,8.8,5.4,2.9,15,21.9,
143,대구,2019-04-05,15.2,7.6,22,,,,12.1,7.3,3,18,26.5,
143,대구,2019-04-06,15.6,7.4,23.8,,,,7.3,4.8,1.8,15,25.6,
143,대구,2019-04-07,13.1,9.6,18.5,.5,.2,.2,7.1,4.5,2.1,41,57.1,
143,대구,2019-04-08,13.1,6.5,21.4,,,,13.1,7.9,3.6,14,44,
143,대구,2019-04-09,9.1,5.2,15.7,8.42,4.5,19,14.8,7.7,4.2,30,59.3,
143,대구,2019-04-10,7.9,5.1,10,4.67,3,9,10.6,5.3,2,68,78.5,
143,대구,2019-04-11,10.5,5.9,15.1,,,,4.7,2.5,1.1,36,64.1,
143,대구,2019-04-12,12.8,6.9,19.6,,,,7.2,4.2,1.8,18,49.8,
