지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),일 최심신적설(cm)
133,대전,2019-01-01,-2.7,-6.1,.7,3.5,,.1,7.2,3.4,1.3,58,69.8,0
133,대전,2019-01-02,-3.3,-8.4,2.9,,,,6.5,3.8,1.2,37,64.1,
133,대전,2019-01-03,-2.7,-8.5,4.3,,,,3.6,2.4,.8,25,55.8,
133,대전,2019-01-04,-1.6,-8.1,4.2,,,,3.1,1.8,.8,38,61.8,
133,대전,2019-01-05,-.7,-4.8,4.5,,,,6,3.2,1.2,20,52.8,
133,대전,2019-01-06,-1.9,-7.1,5.4,,,,4.3,2.7,1,26,52.5,
133,대전,2019-01-07,-1.2,-6.9,5.6,,,,5.7,3.1,1,44,66.6,
133,대전,2019-01-08,-1.5,-5,3.9,,,,10.4,5.3,1.9,21,54.1,
133,대전,2019-01-09,-3.4,-8.6,2.3,,,,5.4,2.9,1,27,41.9,
133,대전,2019-01-10,-1.1,-3.2,2,,,,4.1,2.3,.8,39,58.3,
133,대전,2019-01-11,2.8,-3,8.4,,,,3.9,1.8,.8,43,63.5,
133,대전,2019-01-12,4.5,1.8,8.8,5.08,,.5,7.1,4,1,47,69.8,
133,대전,2019-01-13,1.8,-2.8,8.4,,,,3.7,1.7,.7,40,66.6,
133,대전,2019-01-14,1.7,-1.6,6.1,,,,4.4,2.2,.8,56,72.5,
133,대전,2019-01-15,-.1,-4.9,5.6,2.25,,.3,9.6,5.1,1.9,54,72.5,
133,대전,2019-01-16,-3.8,-8.5,1.3,,,,7.7,3.8,1.3,27,56.8,
133,대전,2019-01-17,0,-2.5,4.5,1,,0,6,2.7,1.4,52,72.9,
133,대전,2019-01-18,.8,-4.8,8,,,,3.8,2.1,.8,44,70.8,
133,대전,2019-01-19,3.2,-1.9,7.6,,,,3.7,2.1,.6,48,66.6,
133,대전,2019-01-20,1.3,-2.8,4.2,.75,,0,10,5.6,2.5,26,51.1,
133,대전,2019-01-21,.2,-6.2,6.8,,,,7.6,4.2,1.5,48,62.8,
133,대전,2019-01-22,3.3,-1.6,8.7,,,,8.4,3.2,1.3,47,65.8,
133,대전,2019-01-23,2.8,-1.5,9.5,,,,8.1,5,1.5,26,57.6,
133,대전,2019-01-24,.9,-5.6,8.7,,,,5.2,2.4,1,16,42.9,
133,대전,2019-01-25,-.9,-4.5,5.3,,,,8.7,5.5,1.8,25,48.5,
133,대전,2019-01-26,-2.3,-6.4,4,,,,7.6,3.6,1.7,20,41.5,
133,대전,2019-01-27,-.4,-8.3,7.3,,,,7.8,5,1.2,33,59,
133,대전,2019-01-28,2.3,-2.3,6.6,3.25,,.8,10.6,5.5,2.2,22,61.1,
133,대전,2019-01-29,.1,-6.9,8.3,,,,3.7,2.4,.8,24,50,
133,대전,2019-01-30,2.7,-4,9.1,,,,5.7,3,1.1,31,55.8,
133,대전,2019-01-31,.6,-4.7,3.6,.92,,0,8.5,4.7,1.7,29,55.4,
133,대전,2019-02-01,-1.2,-6.7,3.9,,,,7.3,3.8,1.4,44,65.6,
133,대전,2019-02-02,1.7,-4.9,8.8,.95,,0,5,2.2,.8,45,70.4,
133,대전,2019-02-03,5,3.2,8.7,18.25,,27.1,10.1,4.4,1.3,72,93,
133,대전,2019-02-04,1.3,-2.2,6.5,,,,8.8,3.8,1.4,18,51.5,
133,대전,2019-02-05,3.2,-4.3,12,,,,3.1,1.6,.8,20,50.4,
133,대전,2019-02-06,6.1,-1.2,13.5,,,,6.5,4,1.3,44,69,
133,대전,2019-02-07,1.8,-5.1,7.6,1.17,,0,10.6,5.9,2.7,20,56,
133,대전,2019-02-08,-3.3,-7.5,2.1,,,,6.2,2.8,1.4,16,39.8,
133,대전,2019-02-09,-2.7,-5.3,1.7,,,,9.3,4.7,2.1,27,46.5,
133,대전,2019-02-10,-2.4,-7,2.2,,,,5.2,2.5,1.1,16,36.9,
133,대전,2019-02-11,-1.7,-6.1,4.1,,,,7.4,3.7,1.5,29,47.9,
133,대전,2019-02-12,-.3,-6.2,5.4,,,,4.9,2.5,1,36,54.6,
133,대전,2019-02-13,-.3,-3.9,4.9,,,,9.8,4.9,1.7,27,43.8,
133,대전,2019-02-14,1.5,-3.3,8.1,,,,4.4,2.5,.9,19,41.1,
133,대전,2019-02-15,1.7,-.6,4.7,4.33,,0,7.9,3.8,1.4,42,59.8,
133,대전,2019-02-16,-.7,-3.5,2.8,9.42,,.1,7.4,4.3,2.1,43,64.5,0
133,대전,2019-02-17,-.7,-6.5,6.8,,,,6.5,3,1.3,25,55.9,
133,대전,2019-02-18,1.9,-4.5,6.8,2.25,,.1,3.5,2.2,.8,24,52.8,
133,대전,2019-02-19,2.2,-.1,4.1,14.67,,18.8,5.5,2.8,.9,78,94.1,
133,대전,2019-02-20,1.9,-.7,6.1,3.42,,0,7.3,3.7,1.2,57,80.6,
133,대전,2019-02-21,2.1,-3.3,8.5,,,,5.2,2.4,.9,42,72.4,
133,대전,2019-02-22,3.6,-1.5,9.9,,,,4.6,2.4,.9,37,66.1,
133,대전,2019-02-23,5.5,-1.9,14.2,,,,6.2,4,1.1,28,58.9,
133,대전,2019-02-24,6.7,-.8,15.1,,,,7.4,4.4,1.3,34,63.4,
133,대전,2019-02-25,5.7,.9,12.9,,,,6.9,3.5,1.2,32,57.6,
133,대전,2019-02-26,5.3,-2.4,12.7,,,,4.3,2.5,1.1,17,46,
133,대전,2019-02-27,6.6,4.2,9.8,3.67,,.2,3.8,2.1,.8,44,65.8,
133,대전,2019-02-28,6.7,.7,13.4,,,,5.6,2.6,1,34,67.4,
133,대전,2019-03-01,6.1,0,13.7,,,,6.1,2.7,1.1,25,59.5,
133,대전,2019-03-02,7.4,-.9,16,,,,3.9,2.1,1,21,51.5,
133,대전,2019-03-03,9,1.4,15.5,,,,4.4,2.1,.9,32,50.8,
133,대전,2019-03-04,10,5.5,16.4,,,,6.2,3.3,1.1,28,52.9,
133,대전,2019-03-05,8.7,2.8,14,,,,6.5,3.7,1.1,38,61.5,
