지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),일 최심신적설(cm)
159,부산,2019-01-01,1,-1.9,5.5,,,,12.5,7.1,4.2,24,41.9,
159,부산,2019-01-02,1.2,-2.5,6.4,,,,14.1,6.3,3.2,26,34.6,
159,부산,2019-01-03,3,-1.7,8.4,,,,10.8,6,3.5,14,22,
159,부산,2019-01-04,5,1.4,8.2,,,,9,6.8,3.1,15,22.3,
159,부산,2019-01-05,5.5,2.2,10.7,,,,9.7,5.6,2.9,17,31.8,
159,부산,2019-01-06,4.4,1.3,10.7,,,,8.8,5.3,2.1,19,30.5,
159,부산,2019-01-07,4.4,.7,9.5,,,,9.3,6.8,3.5,16,22.8,
159,부산,2019-01-08,3.2,-.7,8.2,,,,9.7,5.3,3,24,35.5,
159,부산,2019-01-09,2.3,-2.6,7.6,,,,10.7,6.3,3,30,36.8,
159,부산,2019-01-10,4.8,2.5,9,,,,11.1,6.5,3.3,16,35.1,
159,부산,2019-01-11,6.2,.4,12.2,,,,9.8,6.8,2.6,36,54.9,
159,부산,2019-01-12,6.2,4.7,8.3,9.75,,.7,9.4,6.8,3.2,60,78.8,
159,부산,2019-01-13,6.8,3.2,12.5,,,,9.6,6.5,2.5,42,56.1,
159,부산,2019-01-14,7.3,2.4,13.5,,,,7.7,4.9,1.5,31,43.8,
159,부산,2019-01-15,5.6,1.4,10.4,,,,9.9,5.9,3.3,29,42.3,
159,부산,2019-01-16,0,-4.4,5.6,,,,11.3,6.9,3.5,16,28.9,
159,부산,2019-01-17,2.4,-2,7.6,,,,12,6.4,3.3,31,43.5,
159,부산,2019-01-18,5.5,1.1,10.8,,,,10.9,6.3,3.1,22,30.4,
159,부산,2019-01-19,7.5,4.2,12.2,4.15,,.5,8.7,6.1,2.5,26,49.1,
159,부산,2019-01-20,5.5,.5,10.6,2,,.2,10.8,5.9,3.1,24,46.1,
159,부산,2019-01-21,2.8,-2.3,7.9,,,,10.6,7.3,3.6,26,34.6,
159,부산,2019-01-22,5.5,.9,10.6,,,,9.9,6,2.7,24,43.8,
159,부산,2019-01-23,6.5,2.1,10.7,,,,8.8,6.1,3.3,34,44.3,
159,부산,2019-01-24,5.7,1.5,11.6,,,,8.7,6.5,2.6,18,30,
159,부산,2019-01-25,4.2,-.1,7.9,,,,13.4,6.4,3.1,16,25.1,
159,부산,2019-01-26,1,-2.6,6.3,,,,13.6,7.9,4.2,16,25,
159,부산,2019-01-27,3.9,-.7,9,,,,10.8,7.4,3.7,17,29.1,
159,부산,2019-01-28,5.3,2,10.9,,,,12,8.2,4.5,19,37.4,
159,부산,2019-01-29,5.2,-.6,11.4,,,,9.7,6.7,1.7,28,46,
159,부산,2019-01-30,8.6,5.4,13.7,,,,7.6,5.9,3.3,22,35.9,
159,부산,2019-01-31,2.2,-1.5,8.9,14.03,,11.3,12,7.2,3.7,26,73.4,.2
159,부산,2019-02-01,.4,-4.2,5.5,,,,13.5,7.1,4.2,40,51.5,
159,부산,2019-02-02,4.2,-1.3,8.3,,,,10.5,6.4,3.2,39,55.1,
159,부산,2019-02-03,11.6,7.4,14.9,7.88,,21.4,15.8,9.5,4.8,64,84.9,
159,부산,2019-02-04,6.8,3.4,10.5,,,,12.8,6.3,3.3,16,28.5,
159,부산,2019-02-05,8,2.5,13,,,,9.3,6.7,2.1,18,40.4,
