time,avg_temp,highest_temp,rainning_time,maximum_precipitation(hour),daily_precipitation,wind_speed,avg_wind_speed,avg_humidity
2019-01-01,-5,-0.6,,,,4.3,2.1,49.5
2019-01-02,-4.9,0.2,,,,3.6,1.7,42.8
2019-01-03,-3.5,3.2,,,,2.9,1.4,38.8
2019-01-04,-1.1,4.1,,,,3,1.2,55.5
2019-01-05,-2.8,1.1,,,,4.3,2.2,40.3
2019-01-06,-2.8,2.7,,,,3.2,1.2,35
2019-01-07,-1.9,3.1,,,,4.7,1.4,46.4
2019-01-08,-3.5,0.5,,,,6.5,2.6,31
2019-01-09,-4.7,1.3,,,,3.5,1.3,28.8
2019-01-10,-0.6,3,,,,3.8,1.3,48.8
2019-01-11,2.4,7.2,,,,2.6,1,58.8
2019-01-12,2.8,8,,,,3.5,1.3,47.6
2019-01-13,1.2,7.6,,,,3.2,1.4,54.3
2019-01-14,1.4,5.3,,,,2.5,0.9,68.6
2019-01-15,-1.7,2.6,1,,0,6.1,2.7,58.8
2019-01-16,-5.2,-1.1,3.75,,0,4.3,2.3,45.9
2019-01-17,-0.3,4,2.83,,0,5,1.7,45.8
2019-01-18,0.6,6.7,,,,4.5,1.3,44
2019-01-19,3.6,8.5,,,,3,1.2,59.8
2019-01-20,-1.4,4,,,,5.5,3.2,38.5
2019-01-21,-1.2,4.2,2.75,,0,4.3,1.6,57.8
2019-01-22,1.7,7.1,,,,4.4,1.7,62
2019-01-23,2,7,,,,5.1,2.3,48.9
2019-01-24,0.1,6.5,,,,3.5,1.7,34.9
2019-01-25,-1.2,2.6,,,,5.5,2.6,27.6
2019-01-26,-2.5,2.4,,,,4.4,2.4,30.9
2019-01-27,-0.1,5.1,,,,3.7,1.7,52.5
2019-01-28,1.2,4.5,1.5,,0,6.8,3.1,40.4
2019-01-29,-0.2,7,,,,3.7,1.5,35.5
2019-01-30,1.8,6.6,,,,3.8,1.5,54.6
2019-01-31,-2,2.3,,,,4.7,2.9,29
2019-02-01,-2.1,2.8,2.25,,0.3,4.9,1.7,47.6
2019-02-02,1.4,6.1,0.42,,0,1.8,1,60
2019-02-03,3.3,4.9,19.67,,16,4,1.7,92.9
2019-02-04,-0.6,3,,,,4.9,2.1,40.4
2019-02-05,2.8,10.1,,,,2.9,1,37.1
2019-02-06,5.1,9.3,,,,3.1,1.3,54.9
2019-02-07,-2.1,6.3,4.17,,0.5,5.5,3.5,45.5
2019-02-08,-6.1,-1.3,,,,4.7,2.3,31.5
2019-02-09,-5.4,-1.9,,,,4.9,2.7,30
2019-02-10,-5,-1.9,,,,3.6,1.7,31.3
2019-02-11,-3,2,,,,4.9,2.3,34.9
2019-02-12,-0.6,3.7,2.25,,0,4.3,1.9,35.5
2019-02-13,-2.1,2.5,,,,5.1,2.4,26.6
2019-02-14,-0.5,6.3,,,,3.2,1.4,24.3
2019-02-15,-0.8,0.9,14.83,,2.2,4,1.9,72.8
