지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),일 최심신적설(cm)
152,울산,2019-01-01,.1,-2.5,4.1,,,,10.2,6.2,3.4,22,45.1,
152,울산,2019-01-02,.5,-3,5.4,,,,9.9,5.6,2.7,17,32.8,
152,울산,2019-01-03,1.4,-2.7,7.7,,,,8.3,4.7,2.6,10,23.5,
152,울산,2019-01-04,4.3,-1.5,10.9,,,,6.5,4.4,2.1,11,22.3,
152,울산,2019-01-05,4.3,1,9.4,,,,8.2,5.4,2.8,17,33.6,
152,울산,2019-01-06,3.1,-.6,9.5,,,,6.6,4.2,2.6,20,28.3,
152,울산,2019-01-07,2.9,-1.1,7.9,,,,7.9,5.8,2.9,14,27.4,
152,울산,2019-01-08,2.5,-2,7,,,,8.6,4.6,2.7,15,31.3,
152,울산,2019-01-09,.4,-4.3,6,,,,9.2,5.5,2.4,29,39.6,
152,울산,2019-01-10,3.6,-.7,8.3,,,,10.5,6.8,2.9,12,37.9,
152,울산,2019-01-11,4.7,-.3,10.9,,,,9.4,5.3,2.5,39,60.6,
152,울산,2019-01-12,4.8,4.2,6,14.22,,7.1,7.3,4.6,2.6,75,96,
152,울산,2019-01-13,5.2,2,10.1,,,,6.6,4.2,2.3,47,65.3,
152,울산,2019-01-14,6,1.6,12.2,,,,6.9,3.9,2.1,13,49.6,
152,울산,2019-01-15,4.5,-.7,9.7,,,,8.6,5.1,2.5,27,47.1,
152,울산,2019-01-16,-.8,-5.3,4.2,,,,10.2,6.9,3.3,11,31.1,
152,울산,2019-01-17,2.4,-1.3,6.4,,,,9.9,6,3.6,37,45.3,
152,울산,2019-01-18,4.5,-1.1,10.5,,,,6.6,4.4,2.3,21,33.9,
152,울산,2019-01-19,7.3,1.3,13.9,2.33,,.1,7,4.6,2,14,44.3,
152,울산,2019-01-20,4.3,-1.3,9,.58,,0,11,5.6,2.9,13,40.9,
152,울산,2019-01-21,2.7,-3.2,9.1,,,,8.5,6.1,2.4,20,32.8,
152,울산,2019-01-22,5.1,-.7,11.9,,,,6.2,3.8,1.8,17,41.3,
152,울산,2019-01-23,6.6,.3,11.4,,,,7.8,4.7,2.2,24,29.4,
152,울산,2019-01-24,4.6,.2,10.6,,,,6.4,3.6,2.1,17,33.8,
152,울산,2019-01-25,2.9,-1.1,7.1,,,,9.7,5.3,2.5,18,25.5,
152,울산,2019-01-26,0,-3.4,4.1,,,,10,6.2,3,14,25.3,
152,울산,2019-01-27,2.8,-3.5,10.8,,,,7.5,5.2,2.2,9,24.5,
152,울산,2019-01-28,3.6,-1,9.8,,,,10.8,6.4,2.5,14,33.3,
152,울산,2019-01-29,4.1,-1.7,10.1,,,,6.3,3.6,2.2,28,46.8,
152,울산,2019-01-30,7.9,2.1,14.5,,,,5.7,3.4,1.7,8,30.9,
152,울산,2019-01-31,1.7,-2,7.7,11.42,,8.3,7.7,4.6,2.5,22,78.4,1
152,울산,2019-02-01,0,-3.9,5.1,,,,10.2,6.2,3.4,34,47.5,
152,울산,2019-02-02,4.1,-3.3,10.1,,,,5.1,3,1.7,24,49.3,
152,울산,2019-02-03,11.3,5.2,17.6,8.02,,6.7,10.4,6.3,1.8,60,84,
152,울산,2019-02-04,5.5,2.8,9.7,,,,10.7,6.3,3.3,11,26.1,
152,울산,2019-02-05,6.3,1.2,11.9,,,,5.8,3.7,1.9,16,37.1,
152,울산,2019-02-06,9.4,3.3,15.7,,,,6.1,4.1,1.8,12,36.6,
152,울산,2019-02-07,6.3,-.3,12.4,,,,10.2,6.1,2.6,24,44.6,
152,울산,2019-02-08,.9,-2.9,6.7,,,,9.9,6.4,3,28,41.6,
152,울산,2019-02-09,1.1,-1.3,4.4,,,,9.2,5.5,2.8,15,28.5,
152,울산,2019-02-10,1.9,-2.2,6.3,2.67,,1.5,8.5,5.6,2.9,27,53.3,
152,울산,2019-02-11,1.5,-1.3,5.4,,,,9,5.2,3.1,18,30.8,
152,울산,2019-02-12,2.4,-2,7,,,,10.1,5,2.4,23,35,
152,울산,2019-02-13,3.4,0,7.8,,,,8.7,4.9,2.6,22,30.6,
152,울산,2019-02-14,2.3,.3,5.3,2.58,,.8,6.7,4,2.1,34,70.9,
152,울산,2019-02-15,4.9,.1,12,2.83,,1,9.1,5,1.9,29,69.3,
152,울산,2019-02-16,1.9,-1,5.5,,,,11.2,6.7,3.3,34,47.5,
152,울산,2019-02-17,2,-3.8,8.3,,,,6.9,4.4,2,13,31.4,
152,울산,2019-02-18,5.5,.1,9.8,.17,,0,6.9,4.6,2,15,28.4,
152,울산,2019-02-19,5.1,3.1,7.8,13.33,,28.7,6.2,4,1.8,24,94.8,
152,울산,2019-02-20,4.7,1.9,8.5,,,,14,9.4,3.5,37,56.5,
152,울산,2019-02-21,5.3,.6,11.4,,,,6.8,4.5,2.3,44,64.9,
152,울산,2019-02-22,7.3,2.2,13.5,,,,5.2,3.4,1.6,37,65.1,
152,울산,2019-02-23,7.2,4.2,12,.33,,0,8.4,5,2.6,43,64.8,
152,울산,2019-02-24,7.1,.3,14.4,,,,6.8,3.9,1.6,34,64.4,
152,울산,2019-02-25,9.1,3.9,15,,,,9.4,6,2.6,26,59.1,
152,울산,2019-02-26,8.8,4.6,14.5,,,,6.6,4.1,2.2,21,63.3,
152,울산,2019-02-27,9.5,7,12.5,1.5,,0,4.9,3.1,1.5,49,67.9,
152,울산,2019-02-28,9.2,5.4,13.1,1,,.1,7.5,4.7,2.2,50,72.3,
152,울산,2019-03-01,8.7,4.3,14.8,,,,7.4,4.4,1.9,17,56.3,
152,울산,2019-03-02,8.9,3.1,13.5,,,,7.7,5.1,1.7,43,62,
152,울산,2019-03-03,10.5,7,13.8,,,,7,4.4,2.3,36,57.1,
152,울산,2019-03-04,9.7,6.3,14.7,1.75,,.9,9.8,6.3,2.5,32,66.5,
152,울산,2019-03-05,11.1,2.9,16.5,,,,7.1,4.4,1.6,23,55.9,
152,울산,2019-03-06,10.1,7.1,14.1,5.67,,1.7,6.3,3.6,1.4,35,71.1,
152,울산,2019-03-07,7.5,4.9,11.7,2.17,,.3,10.2,6.1,2.6,45,73.1,
152,울산,2019-03-08,8.9,2.1,14.7,,,,8.1,4.6,1.9,43,68.8,
152,울산,2019-03-09,11.4,3,17.8,,,,7.9,5.4,2,19,59.4,
152,울산,2019-03-10,8.2,6.8,11.4,18,,19.7,9.4,5.2,2.7,63,90.8,
152,울산,2019-03-11,9.9,3.9,16.6,.33,,0,5.9,3.7,2.1,23,64,
