지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),일 최심신적설(cm)
112,인천,2019-01-01,-4.4,-7.2,-.9,,,,10.6,7.3,3.3,46,57.6,
112,인천,2019-01-02,-3.9,-6.4,0,,,,6.5,4.8,2.2,31,48.8,
112,인천,2019-01-03,-2.6,-6.4,2.4,,,,6.6,4.6,2.1,23,45.6,
112,인천,2019-01-04,-.3,-4.3,3.5,.25,,0,5.8,3.6,1.9,48,67.6,
112,인천,2019-01-05,-2.8,-5.2,.5,,,,9.7,6.5,3.8,23,43.4,
112,인천,2019-01-06,-2.7,-5.8,1.9,,,,6.8,4.5,2.1,29,46.4,
112,인천,2019-01-07,-1.3,-4.9,2.5,,,,9.4,6.2,2.1,39,59.4,
112,인천,2019-01-08,-2.9,-5.8,.3,,,,13.9,9.4,4.9,27,40.8,
112,인천,2019-01-09,-4.6,-8.3,-.8,,,,9.4,6.2,2.4,25,37,
112,인천,2019-01-10,-.9,-4.2,2.1,,,,6.2,3.4,1.9,29,59.3,
112,인천,2019-01-11,2.2,.3,5.8,,,,5,3.3,1.6,51,71.8,
112,인천,2019-01-12,2.2,.8,6.3,,,,5.9,3.9,2.1,39,61.6,
112,인천,2019-01-13,1.3,-2.7,6.5,,,,5.5,4,2,29,66.9,
112,인천,2019-01-14,1.7,-1.2,4.4,,,,3.8,2.8,1.2,64,80.6,
112,인천,2019-01-15,-1.9,-6.3,2.4,,,,13.9,9.6,4.9,43,67.1,
112,인천,2019-01-16,-4.9,-9,-2,3.67,,.6,9,6.6,3.2,24,51.4,.6
112,인천,2019-01-17,.6,-2.2,3.1,1.58,,.1,9.9,6.3,3.3,16,47.9,
112,인천,2019-01-18,1.3,-3.3,6.1,,,,5.2,3.8,1.8,29,52.3,
112,인천,2019-01-19,3.8,.8,8.5,,,,6.4,4.5,2.3,50,72,
112,인천,2019-01-20,-1.4,-4.6,3.1,,,,12.3,8.6,5.6,23,46,
112,인천,2019-01-21,.5,-4.5,4.8,,,,12.8,8.6,3.7,45,63.3,
112,인천,2019-01-22,3.4,.1,7.1,,,,8.5,5.3,3,51,70.5,
112,인천,2019-01-23,2.7,-.4,6.5,,,,12.8,8.8,3.7,23,57.5,
112,인천,2019-01-24,.2,-3.1,4.3,,,,6.7,4.3,2.4,15,42.3,
112,인천,2019-01-25,-1.1,-3.1,1.3,,,,12.7,8.7,4.7,24,37.5,
