,등락률(%)
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,-0.93
59,-0.93
60,-0.93
61,-0.93
62,-0.93
63,-0.93
64,-0.93
65,-0.93
66,-0.93
67,-0.93
68,-0.93
69,-0.93
70,-0.93
71,-0.93
72,-0.93
73,-0.93
74,-0.93
75,-0.93
76,-0.93
77,-0.93
78,-0.93
79,-0.93
80,-0.93
81,-0.93
82,-0.93
83,-0.93
84,-0.93
85,-0.93
86,-0.93
87,-0.93
88,-0.93
89,-0.93
90,-0.93
91,-0.93
92,-0.93
93,-0.93
94,-0.93
95,-0.93
96,-0.93
97,-0.93
98,-0.93
99,-0.93
100,-0.93
101,-0.93
102,-0.93
103,-0.93
104,-0.93
105,-0.93
106,-0.93
107,-0.93
108,-0.93
109,-0.93
110,-0.93
111,-0.93
112,-0.93
113,-0.93
114,-0.93
115,-0.93
116,-0.93
117,-0.93
118,-0.93
119,-0.93
120,-0.93
121,-0.93
122,-0.93
123,-0.93
124,-0.93
125,-0.93
126,-0.93
127,-0.93
128,-0.93
129,-0.93
130,-0.93
131,-0.93
132,-0.93
133,-0.93
134,-0.93
135,-0.93
136,-0.93
137,-0.93
138,-0.93
139,-0.93
140,-0.93
141,-0.93
142,-0.93
143,-0.93
144,-0.93
145,-0.93
146,-0.93
147,-0.93
148,-0.93
149,-0.93
150,-0.93
151,-0.93
152,-0.93
153,-0.93
154,-0.93
155,-0.93
156,-0.93
157,-0.93
158,-1.85
159,-1.85
160,-1.85
161,-1.85
162,-1.85
163,-1.85
164,-1.85
165,-1.85
166,-1.85
167,-1.85
168,-1.85
169,-1.85
170,-1.85
171,-1.85
172,-1.85
173,-1.85
174,-1.85
175,-1.85
176,-1.85
177,-1.85
178,-1.85
179,-1.85
180,-1.85
181,-1.85
182,-1.85
183,-1.85
184,-1.85
185,-1.85
186,-1.85
187,-1.85
188,-1.85
189,-1.85
190,-1.85
191,-1.85
192,-1.85
193,-1.85
194,-1.85
195,-1.85
196,-1.85
197,-1.85
198,-1.85
199,-1.85
200,-1.85
201,-1.85
202,-1.85
203,-1.85
204,-1.85
205,-1.85
206,-1.85
207,-1.85
208,-1.85
209,-1.85
210,-1.85
211,-1.85
212,-1.85
213,-1.85
214,-1.85
215,-1.85
216,-1.85
217,-1.85
218,-1.85
219,-1.85
220,-1.85
221,-1.85
222,-1.85
223,-1.85
224,-1.85
225,-1.85
226,-1.85
227,-1.85
228,-1.85
229,-1.85
230,-1.85
231,-1.85
232,-1.85
233,-1.85
234,-1.85
235,-1.85
236,-1.85
237,-1.85
238,-1.85
239,-1.85
240,-1.85
241,-1.85
242,-1.85
243,-1.85
244,-1.85
245,-1.85
246,-1.85
247,-1.85
248,-1.85
249,-1.85
250,1.14
251,1.14
252,1.14
253,1.14
254,1.14
255,1.14
256,1.14
257,1.14
258,1.14
259,1.14
260,1.14
261,1.14
262,1.14
263,1.14
264,1.14
265,1.14
266,1.14
267,1.14
268,1.14
269,1.14
270,1.14
271,1.14
272,1.14
273,1.14
274,1.14
275,1.14
276,1.14
277,1.14
278,1.14
279,1.14
280,1.14
281,1.14
282,1.14
283,1.14
284,1.14
285,1.14
286,1.14
287,1.14
288,1.14
289,1.14
290,1.14
291,1.14
292,1.14
293,1.14
294,1.14
295,1.14
296,1.14
297,1.14
298,1.14
299,1.14
300,1.14
301,1.14
302,1.14
303,1.14
304,1.14
305,1.14
306,1.14
307,1.14
308,1.14
309,1.14
310,1.14
311,1.14
312,1.14
313,1.14
314,1.14
315,1.14
316,1.14
317,1.14
318,1.14
319,1.14
320,1.14
321,1.14
322,1.14
323,1.14
324,1.14
325,1.14
326,1.14
327,1.14
328,1.14
329,1.14
330,1.14
331,1.14
332,1.14
333,1.14
334,1.14
335,1.14
336,1.14
337,1.14
338,1.14
339,1.14
340,1.14
341,1.14
342,1.14
343,1.14
344,1.14
345,1.14
346,1.14
347,1.14
348,1.14
349,1.14
350,1.14
351,1.14
352,1.14
353,1.14
354,1.14
355,1.14
356,1.14
357,1.14
358,1.14
359,1.14
360,1.14
361,1.14
362,1.14
363,1.14
364,1.14
365,1.14
366,1.14
367,1.14
368,1.14
369,1.14
370,1.14
371,1.14
372,1.14
373,1.14
374,1.14
375,1.14
376,1.14
377,1.14
378,1.14
379,1.14
380,1.14
381,1.14
382,1.14
383,1.14
384,1.14
385,1.14
386,1.14
387,1.14
388,1.14
389,1.14
390,1.14
391,1.14
392,1.14
393,1.14
394,1.14
395,1.14
396,1.14
397,1.14
398,1.14
399,1.14
400,1.14
401,1.14
402,1.14
403,1.14
404,1.14
405,1.14
406,1.14
407,1.14
408,1.14
409,1.14
410,1.14
411,1.14
412,1.14
413,1.14
414,1.14
415,1.14
416,1.14
417,1.14
418,1.14
419,1.14
420,1.14
421,1.14
422,1.14
423,1.14
424,1.14
425,1.14
426,1.14
427,1.14
428,1.14
429,1.14
430,1.14
431,1.14
432,1.14
433,1.14
434,1.14
435,1.14
436,1.14
437,1.14
438,1.14
439,1.14
440,1.14
441,1.14
442,1.14
443,1.14
444,1.14
445,1.14
446,1.14
447,1.14
448,1.14
449,1.14
450,1.14
451,1.14
452,1.14
453,1.14
454,1.14
455,1.14
456,1.14
457,1.14
458,1.14
459,1.14
460,1.14
461,1.14
462,1.14
463,1.14
464,1.14
465,1.14
466,1.14
467,1.14
468,1.14
469,1.14
470,1.14
471,1.14
472,1.14
473,1.14
474,1.14
475,1.14
476,1.14
477,1.14
478,1.14
479,1.14
480,1.14
481,1.14
482,1.14
483,1.14
484,1.14
485,1.14
486,1.14
487,1.14
488,1.14
489,1.14
490,1.14
491,1.14
492,1.14
493,1.14
494,1.14
495,1.14
496,1.14
497,1.14
498,1.14
499,1.14
500,1.14
501,1.14
502,1.14
503,1.14
504,1.14
505,1.14
506,1.14
507,1.14
508,1.14
509,1.14
510,1.14
511,1.26
512,1.26
513,1.26
514,1.26
515,1.26
516,1.26
517,1.26
518,1.26
519,1.26
520,1.26
521,1.26
522,1.26
523,1.26
524,1.26
525,1.26
526,1.26
527,1.26
528,1.26
529,1.26
530,1.26
531,1.26
532,1.26
533,1.26
534,1.26
535,1.26
536,1.26
537,1.26
538,1.26
539,1.26
